question_id,unit,question,correct_rate
5001,분수의 덧셈,분수의 덧셈에 관한 문제 1,0.49
5002,자료의 정리,자료의 정리에 관한 문제 2,0.6
5003,분수의 덧셈,분수의 덧셈에 관한 문제 3,0.45
5004,분수의 덧셈,분수의 덧셈에 관한 문제 4,0.86
5005,문장의 종류,문장의 종류에 관한 문제 5,0.52
5006,문장의 종류,문장의 종류에 관한 문제 6,0.51
5007,도형의 성질,도형의 성질에 관한 문제 7,0.86
5008,소수의 곱셈,소수의 곱셈에 관한 문제 8,0.84
5009,도형의 성질,도형의 성질에 관한 문제 9,0.87
5010,자료의 정리,자료의 정리에 관한 문제 10,0.7
5011,자료의 정리,자료의 정리에 관한 문제 11,0.41
5012,도형의 성질,도형의 성질에 관한 문제 12,0.53
5013,도형의 성질,도형의 성질에 관한 문제 13,0.65
5014,자료의 정리,자료의 정리에 관한 문제 14,0.89
5015,분수의 덧셈,분수의 덧셈에 관한 문제 15,0.61
5016,소수의 곱셈,소수의 곱셈에 관한 문제 16,0.86
5017,도형의 성질,도형의 성질에 관한 문제 17,0.55
5018,분수의 덧셈,분수의 덧셈에 관한 문제 18,0.74
5019,도형의 성질,도형의 성질에 관한 문제 19,0.76
5020,문장의 종류,문장의 종류에 관한 문제 20,0.86
5021,문장의 종류,문장의 종류에 관한 문제 21,0.83
5022,도형의 성질,도형의 성질에 관한 문제 22,0.69
5023,자료의 정리,자료의 정리에 관한 문제 23,0.89
5024,소수의 곱셈,소수의 곱셈에 관한 문제 24,0.75
5025,소수의 곱셈,소수의 곱셈에 관한 문제 25,0.92
5026,도형의 성질,도형의 성질에 관한 문제 26,0.79
5027,도형의 성질,도형의 성질에 관한 문제 27,0.86
5028,분수의 덧셈,분수의 덧셈에 관한 문제 28,0.45
5029,문장의 종류,문장의 종류에 관한 문제 29,0.6
5030,소수의 곱셈,소수의 곱셈에 관한 문제 30,0.53
